cluster,carburant,segment,age_class,km_class,annonces_publiees,ventes,opt_ventes,ecart_ventes,ventes/annonces,opt_ventes/annonces,ecart_ventes/annonces,BP/B2C_min,BP/B2C,BP/B2C_max,opt_BP/B2C_min,opt_BP/B2C,opt_BP/B2C_max,ecart_BP/B2C,CP/B2C_min,CP/B2C,CP/B2C_max,opt_CP/B2C_min,opt_CP/B2C,opt_CP/B2C_max,ecart_CP/B2C,commission,opt_commission,ecart_commission,delai_vente,opt_delai_vente,ecart_delai_vente,gain_total,opt_gain_total,ecart_gain_total,opt_size,final_BP/B2C_min,final_BP/B2C,final_BP/B2C_max,final_CP/B2C_min,final_CP/B2C,final_CP/B2C_max,final_ventes/annonces,final_commission,final_delai_vente,final_ventes,final_gain_total,reference,methode,final_ecart_BP/B2C_min,final_ecart_BP/B2C,final_ecart_BP/B2C_max,final_ecart_CP/B2C_min,final_ecart_CP/B2C,final_ecart_CP/B2C_max,final_ecart_ventes/annonces,final_ecart_commission,final_ecart_delai_vente,final_ecart_ventes,final_ecart_gain_total
ESSENCE_SPORT_7_surkm,ESSENCE,SPORT,"7,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_PETIT_2_normale,ELECTRIQUE,PETIT,"2,00",normale,"20,00","8,00","20,00","12,00","0,40","1,00","0,60","0,82","0,88","0,89","0,90","0,92","0,95","0,04","0,93","0,94","0,96","0,94","0,94","0,95","0,00","1106,38","1232,50","126,13","36,75","33,00","-3,75","8851,00","24650,00","15799,00","2,00","0,82","0,88","0,89","0,93","0,94","0,96","0,40","1106,38","36,75","8,00","8851,00",ELECTRIQUE_PETIT_2_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_PETIT_2_souskm,ELECTRIQUE,PETIT,"2,00",souskm,"1,00","1,00","0,00","0,00","1,00","0,00","0,00","0,77","0,77","0,77","0,00","0,00","0,00","0,00","1,17","1,17","1,17","0,00","0,00","0,00","0,00","590,00","0,00","0,00","119,00","0,00","0,00","590,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,05","0,10","0,15","-0,25","-0,20","-0,18","-0,59","527,07","-79,64","13,00","15049,00"
ELECTRIQUE_PETIT_2_surkm,ELECTRIQUE,PETIT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_PETIT_27_normale,ELECTRIQUE,PETIT,"27,00",normale,"6,00","1,00","0,00","0,00","0,17","0,00","0,00","0,83","0,87","0,91","0,00","0,00","0,00","0,00","0,92","0,92","0,92","0,00","0,00","0,00","0,00","1090,00","0,00","0,00","43,00","0,00","0,00","1090,00","0,00","0,00","0,00","0,83","0,87","0,91","0,92","0,92","0,92","0,17","1090,00","43,00","1,00","1090,00",ELECTRIQUE_PETIT_27_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_PETIT_27_souskm,ELECTRIQUE,PETIT,"27,00",souskm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_PETIT_27_surkm,ELECTRIQUE,PETIT,"27,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_PETIT_7_normale,ELECTRIQUE,PETIT,"7,00",normale,"2,00","1,00","0,00","0,00","0,50","0,00","0,00","0,65","0,71","0,77","0,00","0,00","0,00","0,00","0,88","0,88","0,88","0,00","0,00","0,00","0,00","690,00","0,00","0,00","51,00","0,00","0,00","690,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,17","0,16","0,15","0,05","0,09","0,12","-0,09","427,07","-11,64","13,00","14949,00"
ELECTRIQUE_PETIT_7_souskm,ELECTRIQUE,PETIT,"7,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_PETIT_7_surkm,ELECTRIQUE,PETIT,"7,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_GRAND_2_normale,ELECTRIQUE,GRAND,"2,00",normale,"3,00","2,00","0,00","0,00","0,67","0,00","0,00","0,95","0,96","0,97","0,00","0,00","0,00","0,00","1,03","1,06","1,10","0,00","0,00","0,00","0,00","1714,00","0,00","0,00","17,50","0,00","0,00","3428,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"-0,13","-0,09","-0,04","-0,10","-0,09","-0,11","-0,25","-596,93","21,86","12,00","12211,00"
ELECTRIQUE_GRAND_2_souskm,ELECTRIQUE,GRAND,"2,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_GRAND_2_surkm,ELECTRIQUE,GRAND,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_GRAND_27_normale,ELECTRIQUE,GRAND,"27,00",normale,"1,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","990,00","0,00","0,00","9,00","0,00","0,00","990,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","-0,59","127,07","30,36","13,00","14649,00"
ELECTRIQUE_GRAND_27_souskm,ELECTRIQUE,GRAND,"27,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_GRAND_27_surkm,ELECTRIQUE,GRAND,"27,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_GRAND_7_normale,ELECTRIQUE,GRAND,"7,00",normale,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_GRAND_7_souskm,ELECTRIQUE,GRAND,"7,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_GRAND_7_surkm,ELECTRIQUE,GRAND,"7,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_SPORT_2_normale,ELECTRIQUE,SPORT,"2,00",normale,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_SPORT_2_souskm,ELECTRIQUE,SPORT,"2,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_SPORT_2_surkm,ELECTRIQUE,SPORT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
