cluster,carburant,segment,age_class,km_class,annonces_publiees,ventes,opt_ventes,ecart_ventes,ventes/annonces,opt_ventes/annonces,ecart_ventes/annonces,BP/B2C_min,BP/B2C,BP/B2C_max,opt_BP/B2C_min,opt_BP/B2C,opt_BP/B2C_max,ecart_BP/B2C,CP/B2C_min,CP/B2C,CP/B2C_max,opt_CP/B2C_min,opt_CP/B2C,opt_CP/B2C_max,ecart_CP/B2C,commission,opt_commission,ecart_commission,delai_vente,opt_delai_vente,ecart_delai_vente,gain_total,opt_gain_total,ecart_gain_total,opt_size,final_BP/B2C_min,final_BP/B2C,final_BP/B2C_max,final_CP/B2C_min,final_CP/B2C,final_CP/B2C_max,final_ventes/annonces,final_commission,final_delai_vente,final_ventes,final_gain_total,reference,methode,final_ecart_BP/B2C_min,final_ecart_BP/B2C,final_ecart_BP/B2C_max,final_ecart_CP/B2C_min,final_ecart_CP/B2C,final_ecart_CP/B2C_max,final_ecart_ventes/annonces,final_ecart_commission,final_ecart_delai_vente,final_ecart_ventes,final_ecart_gain_total
DIESEL_PETIT_2_normale,DIESEL,PETIT,"2,00",normale,"84,00","31,00","36,96","5,96","0,37","0,44","0,07","0,84","0,89","0,93","0,85","0,87","0,90","-0,01","0,92","0,95","0,97","0,93","0,95","0,96","0,00","922,03","965,09","43,06","49,39","41,36","-8,02","28583,00","35669,76","7086,76","25,00","0,84","0,89","0,93","0,92","0,95","0,97","0,37","922,03","49,39","31,00","28583,00",DIESEL_PETIT_2_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_2_souskm,DIESEL,PETIT,"2,00",souskm,"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_2_surkm,DIESEL,PETIT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_27_normale,DIESEL,PETIT,"27,00",normale,"814,00","371,00","403,55","32,55","0,46","0,50","0,04","0,83","0,88","0,93","0,85","0,88","0,90","0,00","0,92","0,95","0,97","0,93","0,95","0,97","0,00","901,70","926,40","24,70","39,73","34,43","-5,30","334531,00","373850,19","39319,19","236,00","0,85","0,88","0,90","0,93","0,95","0,97","0,50","926,40","34,43","403,55","373850,19",DIESEL_PETIT_27_normale,optimisation cluster,"0,02","0,00","-0,03","0,00","0,00","0,00","0,04","24,70","-5,30","32,55","39319,19"
DIESEL_PETIT_27_souskm,DIESEL,PETIT,"27,00",souskm,"26,00","10,00","14,86","4,86","0,38","0,57","0,19","0,82","0,85","0,90","0,80","0,83","0,85","-0,02","0,88","0,91","0,93","0,86","0,88","0,88","-0,04","830,10","840,25","10,15","48,20","31,25","-16,95","8301,00","12483,71","4182,71","7,00","0,82","0,85","0,90","0,88","0,91","0,93","0,38","830,10","48,20","10,00","8301,00",DIESEL_PETIT_27_souskm,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_27_surkm,DIESEL,PETIT,"27,00",surkm,"3,00","1,00","0,00","0,00","0,33","0,00","0,00","0,88","0,95","0,99","0,00","0,00","0,00","0,00","1,27","1,27","1,27","0,00","0,00","0,00","0,00","990,00","0,00","0,00","85,00","0,00","0,00","990,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"-0,06","-0,06","-0,05","-0,33","-0,28","-0,24","0,17","-205,09","-48,25","416,00","326317,10"
DIESEL_PETIT_7_normale,DIESEL,PETIT,"7,00",normale,"832,00","417,00","437,39","20,39","0,50","0,53","0,03","0,82","0,88","0,94","0,85","0,87","0,90","-0,01","0,94","0,99","1,03","0,94","0,98","1,01","-0,01","784,91","820,49","35,58","36,75","33,36","-3,39","327307,10","358877,26","31570,16","175,00","0,85","0,87","0,90","0,94","0,98","1,01","0,53","820,49","33,36","437,39","358877,26",DIESEL_PETIT_7_normale,optimisation cluster,"0,03","-0,01","-0,04","0,00","-0,01","-0,02","0,03","35,58","-3,39","20,39","31570,16"
DIESEL_PETIT_7_souskm,DIESEL,PETIT,"7,00",souskm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_7_surkm,DIESEL,PETIT,"7,00",surkm,"98,00","69,00","76,22","7,22","0,70","0,78","0,08","0,85","0,91","0,97","0,95","0,97","1,00","0,06","0,94","1,02","1,08","0,98","1,06","1,10","0,04","787,86","804,29","16,43","27,43","31,93","4,49","54362,00","61304,44","6942,44","18,00","0,85","0,91","0,97","0,94","1,02","1,08","0,70","787,86","27,43","69,00","54362,00",DIESEL_PETIT_7_surkm,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_GRAND_2_normale,DIESEL,GRAND,"2,00",normale,"15,00","5,00","6,43","1,43","0,33","0,43","0,10","0,86","0,91","0,94","0,85","0,87","0,90","-0,04","0,92","0,94","0,98","0,95","0,96","0,98","0,02","1137,40","1235,67","98,27","52,40","48,67","-3,73","5687,00","7943,57","2256,57","7,00","0,86","0,91","0,94","0,92","0,94","0,98","0,33","1137,40","52,40","5,00","5687,00",DIESEL_GRAND_2_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_GRAND_2_souskm,DIESEL,GRAND,"2,00",souskm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_GRAND_2_surkm,DIESEL,GRAND,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_GRAND_27_normale,DIESEL,GRAND,"27,00",normale,"194,00","75,00","79,68","4,68","0,39","0,41","0,02","0,83","0,88","0,93","0,85","0,87","0,90","-0,01","0,91","0,94","0,97","0,92","0,95","0,98","0,01","1074,83","1120,35","45,52","43,85","39,52","-4,33","80612,00","89267,71","8655,71","56,00","0,83","0,88","0,93","0,91","0,94","0,97","0,39","1074,83","43,85","75,00","80612,00",DIESEL_GRAND_27_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_GRAND_27_souskm,DIESEL,GRAND,"27,00",souskm,"12,00","2,00","0,00","-2,00","0,17","0,00","-0,17","0,81","0,84","0,91","0,85","0,87","0,90","0,02","0,95","0,95","0,96","0,00","0,00","0,00","0,00","1013,50","0,00","0,00","32,50","0,00","0,00","2027,00","0,00","0,00","3,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,01","0,04","0,04","-0,01","0,04","0,07","0,33","-228,59","4,25","415,00","325280,10"
DIESEL_GRAND_27_surkm,DIESEL,GRAND,"27,00",surkm,"5,00","4,00","0,00","0,00","0,80","0,00","0,00","0,90","0,93","0,95","0,00","0,00","0,00","0,00","0,92","0,94","0,95","0,00","0,00","0,00","0,00","1123,75","0,00","0,00","31,50","0,00","0,00","4495,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"-0,08","-0,05","0,00","0,02","0,05","0,08","-0,30","-338,84","5,25","413,00","322812,10"
DIESEL_GRAND_7_normale,DIESEL,GRAND,"7,00",normale,"161,00","80,00","99,34","19,34","0,50","0,62","0,12","0,84","0,89","0,94","0,85","0,88","0,90","-0,01","0,90","0,96","1,00","0,91","0,96","0,99","0,00","873,80","862,72","-11,08","35,18","33,52","-1,66","69904,00","85703,38","15799,38","47,00","0,84","0,89","0,94","0,90","0,96","1,00","0,50","873,80","35,18","80,00","69904,00",DIESEL_GRAND_7_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_GRAND_7_souskm,DIESEL,GRAND,"7,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_GRAND_7_surkm,DIESEL,GRAND,"7,00",surkm,"20,00","12,00","20,00","8,00","0,60","1,00","0,40","0,86","0,91","0,99","0,80","0,85","0,85","-0,07","0,91","1,01","1,07","1,16","1,16","1,16","0,15","840,00","890,00","50,00","28,92","10,00","-18,92","10080,00","17800,00","7720,00","1,00","0,86","0,91","0,99","0,91","1,01","1,07","0,60","840,00","28,92","12,00","10080,00",DIESEL_GRAND_7_surkm,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_2_normale,DIESEL,SPORT,"2,00",normale,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_2_souskm,DIESEL,SPORT,"2,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_2_surkm,DIESEL,SPORT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_27_normale,DIESEL,SPORT,"27,00",normale,"35,00","9,00","17,50","8,50","0,26","0,50","0,24","0,82","0,86","0,91","0,85","0,87","0,90","0,01","0,93","0,95","0,96","0,93","0,95","0,96","0,00","981,22","1030,33","49,11","38,22","31,67","-6,56","8831,00","18030,83","9199,83","6,00","0,82","0,86","0,91","0,93","0,95","0,96","0,26","981,22","38,22","9,00","8831,00",DIESEL_SPORT_27_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_27_souskm,DIESEL,SPORT,"27,00",souskm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_27_surkm,DIESEL,SPORT,"27,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_7_normale,DIESEL,SPORT,"7,00",normale,"29,00","13,00","19,33","6,33","0,45","0,67","0,22","0,85","0,89","0,94","0,85","0,88","0,90","-0,02","0,92","0,96","1,00","0,90","0,94","0,98","-0,02","873,15","865,00","-8,15","40,38","26,67","-13,72","11351,00","16723,33","5372,33","9,00","0,85","0,89","0,94","0,92","0,96","1,00","0,45","873,15","40,38","13,00","11351,00",DIESEL_SPORT_7_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_7_souskm,DIESEL,SPORT,"7,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_SPORT_7_surkm,DIESEL,SPORT,"7,00",surkm,"7,00","5,00","0,00","0,00","0,71","0,00","0,00","0,85","0,90","0,96","0,00","0,00","0,00","0,00","0,94","1,05","1,04","0,00","0,00","0,00","0,00","890,20","0,00","0,00","26,60","0,00","0,00","4451,00","0,00","0,00","0,00","0,85","0,90","0,96","0,94","1,05","1,04","0,71","890,20","26,60","5,00","4451,00",DIESEL_SPORT_7_surkm,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_PETIT_2_normale,ESSENCE,PETIT,"2,00",normale,"170,00","78,00","86,44","8,44","0,46","0,51","0,05","0,84","0,88","0,92","0,85","0,88","0,90","0,00","0,91","0,93","0,96","0,91","0,94","0,95","0,00","903,42","937,73","34,31","36,63","30,83","-5,79","70467,00","81058,31","10591,31","59,00","0,84","0,88","0,92","0,91","0,93","0,96","0,46","903,42","36,63","78,00","70467,00",ESSENCE_PETIT_2_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_PETIT_2_souskm,ESSENCE,PETIT,"2,00",souskm,"2,00","2,00","0,00","0,00","1,00","0,00","0,00","0,66","0,80","0,93","0,00","0,00","0,00","0,00","0,91","0,92","0,93","0,00","0,00","0,00","0,00","1116,50","0,00","0,00","13,00","0,00","0,00","2233,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,18","0,10","0,01","0,02","0,05","0,07","-0,49","-259,44","23,12","592,00","506859,00"
ESSENCE_PETIT_2_surkm,ESSENCE,PETIT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_PETIT_27_normale,ESSENCE,PETIT,"27,00",normale,"1167,00","594,00","694,29","100,29","0,51","0,59","0,08","0,84","0,90","0,93","0,80","0,83","0,85","-0,07","0,94","0,97","1,00","0,92","0,96","0,99","-0,01","857,06","838,97","-18,09","36,12","39,50","3,37","509092,00","582490,57","73398,57","237,00","0,80","0,83","0,85","0,92","0,96","0,99","0,59","838,97","39,50","694,29","582490,57",ESSENCE_PETIT_27_normale,optimisation cluster,"-0,04","-0,07","-0,08","-0,02","-0,01","-0,01","0,08","-18,09","3,37","100,29","73398,57"
ESSENCE_PETIT_27_souskm,ESSENCE,PETIT,"27,00",souskm,"27,00","11,00","20,25","9,25","0,41","0,75","0,34","0,81","0,84","0,88","0,75","0,78","0,80","-0,06","0,88","0,89","0,91","0,84","0,86","0,89","-0,03","810,18","790,00","-20,18","40,18","31,00","-9,18","8912,00","15997,50","7085,50","4,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,04","0,05","0,05","0,06","0,08","0,09","0,10","46,88","-4,06","583,00","500180,00"
ESSENCE_PETIT_27_surkm,ESSENCE,PETIT,"27,00",surkm,"1,00","1,00","0,00","0,00","1,00","0,00","0,00","0,79","0,79","0,79","0,00","0,00","0,00","0,00","0,82","0,82","0,82","0,00","0,00","0,00","0,00","890,00","0,00","0,00","11,00","0,00","0,00","890,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,05","0,10","0,14","0,12","0,15","0,18","-0,49","-32,94","25,12","593,00","508202,00"
